Vertex Locations:
471,414
467,372
322,332
123,331
72,315
74,250
73,193
73,145
75,83
130,51
128,94
323,91
363,7
485,53
704,362
700,271
534,263
531,171
702,120
642,59
591,55
717,56
765,56
782,56
609,257
608,126
781,457
906,456
466,437
535,92
210,364
905,420
706,418
784,458
909,463
701,177
754,295
772,199
784,132
768,114
593,133
225,21
222,109
304,98
367,24
101,82
73,81
336,175
189,360
417,387
297,418
164,431
252,176
connections:
1,2
1,29
2,3
4,3
12,3
4,5
4,6
4,7
4,8
4,9
11,4
11,5
11,6
11,7
11,8
11,9
11,10
11,12
13,12
14,12
2,17
18,17
1,15
1,16
1,25
26,25
26,19
26,20
21,20
26,22
26,23
26,24
14,21
12,30
26,30
18,30
18,25
16,25
15,25
20,22
23,22
23,24
1,27
28,27
3,31
2,31
32,33
34,33
34,35
36,33
37,33
36,37
36,38
36,39
36,40
36,41
36,48
41,48
50,48
49,48
53,48
53,49
53,43
50,51
52,51
53,50
43,44
42,44
45,44
42,43
46,43
47,43
